Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
50.716122,2.515676,10.47,-0.29,1.34,10.45
50.71608,2.515525,11.52,-0.52,-0.29,9.84
50.71608,2.515525,11.52,-0.42,0.14,10.82
50.716051,2.515353,12.55,-0.34,-0.02,8.9
50.716051,2.515353,12.55,-0.79,-0.36,11.38
50.716016,2.515169,13.86,-0.96,-0.05,7.43
50.716016,2.515169,13.86,1.32,0.51,9.73
50.715973,2.514975,14.77,-0.45,-0.04,10.32
50.715973,2.514975,14.77,0.35,-0.73,10.17
50.715936,2.514769,15.02,-0.36,0.08,9.42
50.715936,2.514769,15.02,0.03,-0.59,10.28
50.715903,2.514556,15.74,-0.11,0.32,10.74
50.715903,2.514556,15.74,-0.89,0.28,8.99
50.715876,2.514325,16.49,0.76,-0.97,7.65
50.715876,2.514325,16.49,0.32,-0.35,9.56
50.71585,2.514092,16.65,1.4,-0.29,10.51
50.71585,2.514092,16.65,0.75,-0.97,9.5
50.715822,2.513858,16.56,1.61,-0.82,10.49
50.715822,2.513858,16.56,0.44,0.2,9.69
50.715795,2.513631,15.96,0.2,0.73,9.32
50.715795,2.513631,15.96,1.09,0.34,10.27
50.715773,2.513408,15.49,1.48,0.18,11.3
50.715773,2.513408,15.49,0.11,0.1,9.63
50.715751,2.513196,14.91,1.9,-0.98,9.84
50.715751,2.513196,14.91,1.71,0.42,9.88
50.715729,2.512989,14.4,1,-0.24,9.48
50.715729,2.512989,14.4,1.36,-0.79,9.97
50.715708,2.512797,13.42,1.36,-1.22,9.71
50.715708,2.512797,13.42,1.95,-0.83,10.18
50.715689,2.512616,13,0.58,-0.94,10.03
50.715689,2.512616,13,0.88,-1.73,9.27
50.715661,2.512451,12.39,1.26,-2.1,9.88
50.715619,2.5123,12.09,0.57,-1.99,9.86
50.715619,2.5123,12.09,0.41,-0.55,9.89
50.715568,2.51215,11.54,1.87,-2.42,9.82
50.715568,2.51215,11.54,0.91,-0.99,9.28
50.715504,2.51202,11.18,2.21,-0.29,9.67
50.715504,2.51202,11.18,1.85,-0.73,9.24
50.715443,2.511904,10.32,2.63,-0.9,9.84
50.715443,2.511904,10.32,2.53,1.16,10.77
50.715386,2.511806,9.07,2.15,1.66,9.76
50.715386,2.511806,9.07,1.63,2.54,9.7
50.715344,2.511709,7.45,1.29,2.19,10.15
50.715344,2.511709,7.45,1.63,2.55,9.61
50.715325,2.511612,7.05,1.52,1.55,10.28
50.715325,2.511612,7.05,0.95,1.72,10.08
50.715341,2.511516,6.62,-0.25,0.89,10.75
50.715341,2.511516,6.62,-1.34,0.24,9.62
50.715375,2.511423,7.58,-0.68,0.92,10.06
50.715375,2.511423,7.58,-0.88,0,9.35
50.715417,2.511326,8.79,-0.97,0.08,8.25
50.715417,2.511326,8.79,-1.18,1.19,11.3
50.715471,2.511205,9.92,-0.68,0.85,9.39
50.715471,2.511205,9.92,-0.89,0.12,9.23
50.715538,2.511088,11.33,-0.03,0.54,9.73
50.715538,2.511088,11.33,-0.31,-0.77,9.46
50.71562,2.510967,12.58,-0.61,0.43,10.4
50.71562,2.510967,12.58,-0.11,-1.44,10.2
50.715714,2.510845,13.7,-1.02,-0.79,10.83
50.715714,2.510845,13.7,-0.4,0.68,11.21
50.715814,2.51072,14.59,0.71,-0.07,9.35
50.715814,2.51072,14.59,1.54,0.06,9.33
50.715916,2.510592,14.38,0.67,-0.39,9.39
50.715916,2.510592,14.38,1.05,-0.67,9.27
50.716018,2.510469,13.92,-0.41,-0.97,10.86
50.716018,2.510469,13.92,0.07,-0.89,10.03
50.716118,2.510345,14.24,0.19,-0.98,10.46
50.716118,2.510345,14.24,1.52,-0.8,10.14
50.716218,2.510225,13.92,1.39,-1.35,10.35
50.716218,2.510225,13.92,1.47,-2.71,10.06
50.716314,2.510105,13.38,1.08,-3.52,10.74
50.716314,2.510105,13.38,0.79,-3.34,10.1
50.716399,2.509978,12.82,0.7,-3.75,9.61
50.716464,2.509829,12.68,0.39,-4.42,9.89
50.716464,2.509829,12.68,1.12,-3.34,7.69
50.716499,2.509665,12.51,-0.44,-3.35,9.16
50.716499,2.509665,12.51,-0.37,-3.34,8.37
50.716499,2.509487,12.98,0.63,-3.53,7.59
50.716499,2.509487,12.98,-0.61,-1.57,9.7
50.716474,2.509293,13.48,-0.01,-0.46,8.97
50.716474,2.509293,13.48,1.49,-1.61,6.72
50.716435,2.509107,14.12,-2.22,-0.57,10.4
50.716435,2.509107,14.12,-1.81,0.74,10.7
50.716383,2.508913,14.73,-0.6,-1.19,10.7
50.716383,2.508913,14.73,-0.51,0.06,9.95
50.716329,2.508705,15.45,0.57,-1.53,9.43
50.716329,2.508705,15.45,0.48,-0.62,8.6
50.716278,2.508499,15.8,-1.4,0.29,10.92
50.716278,2.508499,15.8,-0.65,0.57,10.29
50.716225,2.508281,16.51,0.34,-0.03,8.5
50.716225,2.508281,16.51,-0.86,0.11,10.49
50.716169,2.508055,17.33,0.37,-0.17,7.45
50.716169,2.508055,17.33,-0.93,-0.93,8.65
50.716109,2.507816,18.06,-0.34,-0.24,9.07
50.716109,2.507816,18.06,1.02,-0.26,10.43
50.716048,2.507573,18.37,0.76,-0.63,9.34
50.716048,2.507573,18.37,0.33,0.17,9.84
50.71599,2.507332,18.38,-0.58,0.46,8.65
50.71599,2.507332,18.38,-0.23,-0.75,9.67
50.715931,2.507089,18.95,0.16,0,11.38
50.715931,2.507089,18.95,0.55,0.28,10.69
50.715872,2.506837,19.46,0.36,-0.27,9.3
50.715872,2.506837,19.46,0.57,-0.48,8.82
50.715809,2.50658,19.46,0.19,-0.34,11.99
50.715809,2.50658,19.46,0.96,-0.46,10.86
50.715743,2.506321,19.59,0.35,-0.57,8.28
50.715743,2.506321,19.59,0.05,-0.32,11.02
50.715677,2.506062,19.56,1.66,-1.27,9.6
50.715677,2.506062,19.56,0.3,-0.18,10.51
50.715616,2.505809,19.47,1.15,-0.18,12.74
50.715616,2.505809,19.47,0.15,-0.58,10.03
50.715554,2.505554,18.96,0.34,0.13,9.96
50.715554,2.505554,18.96,0.64,-0.8,8.92
50.715494,2.505303,19.26,1.34,-0.38,8.65
50.715494,2.505303,19.26,0.39,-0.82,10.71
50.715433,2.505048,19.06,-0.12,-0.2,11.14
50.71537,2.504789,19.12,0.54,-0.04,9.96
50.71537,2.504789,19.12,1.87,-0.26,10.69
50.71531,2.504539,18.69,-0.03,-1.15,8.77
50.71531,2.504539,18.69,2.39,-1.78,11.02
50.715252,2.504293,18.29,1.3,-0.28,9.4
50.715252,2.504293,18.29,-0.49,0.24,9.61
50.715193,2.50405,18.19,-0.7,0.54,10.19
50.715193,2.50405,18.19,1.11,-0.25,9.97
50.715136,2.503812,18.18,1.41,-0.42,9.62
50.715136,2.503812,18.18,0.75,0.22,9.49
50.715072,2.503589,17.98,1.11,0.07,9.53
50.715072,2.503589,17.98,0.44,0.4,10.46
50.715013,2.503348,18.2,0.58,-0.68,11.42
50.715013,2.503348,18.2,-0.15,0.98,9.5
50.714965,2.503089,18.53,0.43,0.86,9.78
50.714965,2.503089,18.53,0.73,-0.52,11.09
50.714924,2.502823,19.23,1.36,-0.06,9.37
50.714924,2.502823,19.23,0.71,0.57,9.16
50.71489,2.502549,19.57,0.08,1.29,10.04
50.71489,2.502549,19.57,0.69,0.63,9.69
50.714867,2.502273,19.57,1.29,0.55,8.73
50.714867,2.502273,19.57,0.39,1.45,9.83
50.714858,2.501993,19.16,-0.11,1.47,9.06
50.714858,2.501993,19.16,0.65,-0.36,9.54
50.71486,2.501723,19.64,-0.14,0.42,10.22
50.71486,2.501723,19.64,0.41,1.06,10.55
50.714878,2.501445,19.97,0.21,0.77,10.18
50.714878,2.501445,19.97,0.35,0.98,10.6
50.714907,2.501168,20.43,-0.4,0.23,10.39
50.714907,2.501168,20.43,0.1,0.81,9.23
50.714945,2.500885,20.61,0.22,-0.89,9.49
50.714945,2.500885,20.61,0.16,-0.27,10.53
50.714985,2.500603,20.54,0.57,-0.35,8.45
50.714985,2.500603,20.54,1.18,-0.73,11.27
50.715022,2.500327,19.85,0.4,0.6,9.07
50.715022,2.500327,19.85,0.85,0.71,9.44
50.715059,2.500057,19.46,-0.02,-0.69,9.63
50.715059,2.500057,19.46,0.12,0.84,9.97
50.715096,2.499789,19.21,1.47,-1.12,8.35
50.715096,2.499789,19.21,1,0.14,9.15
50.715135,2.49953,18.37,0.59,-0.52,10.2
50.715135,2.49953,18.37,0.85,-0.79,11.77
50.715168,2.499283,17.66,1.6,-1.73,10.29
50.715198,2.499047,17.03,0.1,-0.63,9.48
50.715198,2.499047,17.03,0.07,-1.54,8.33
50.715224,2.498802,17.16,-0.03,-1.71,8.62
50.715224,2.498802,17.16,0.07,-2.5,11.68
50.715242,2.498553,17.33,-0.53,-1.92,10.27
50.715242,2.498553,17.33,-0.56,-0.54,8.43
50.715246,2.498297,17.82,0.13,-0.45,11.05
50.715246,2.498297,17.82,0.16,-1.99,9.03
50.715243,2.498037,18.1,-0.26,-0.34,10.72
50.715243,2.498037,18.1,0.26,-1.27,9.89
50.715236,2.497778,18.17,0.77,-1.28,10.01
50.715236,2.497778,18.17,-0.02,-0.24,13.63
50.71523,2.497519,18.38,0.16,-0.81,8.3
50.71523,2.497519,18.38,-0.55,-0.07,10.04
50.715224,2.497269,18.54,-0.42,-0.53,10.3
50.715224,2.497269,18.54,0.63,-0.81,8.98
50.715214,2.49702,18.73,0.36,-0.53,9.22
50.715214,2.49702,18.73,0.11,-0.36,9.93
50.715202,2.496762,18.83,-0.62,-0.79,9.29
50.715202,2.496762,18.83,-0.42,-1.01,9.05
50.715187,2.496499,19.15,0.38,-1.23,9.46
