Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.238298, 4.076721, 23.46, -1.77, 0.66, 9.70
49.238298, 4.076721, 23.46, -1.79, 0.68, 9.73
49.238298, 4.076721, 23.46, -1.82, 0.65, 9.67
49.238298, 4.076721, 23.46, -1.78, 0.67, 9.66
49.238298, 4.076721, 23.46, -1.76, 0.69, 9.69
49.238298, 4.076721, 23.46, -1.80, 0.63, 9.59
49.238298, 4.076721, 23.46, -1.79, 0.67, 9.64
49.238298, 4.076721, 23.46, -1.77, 0.79, 9.90
49.238298, 4.076721, 23.46, -1.79, 0.60, 9.64
49.238298, 4.076721, 23.46, -1.83, 0.77, 9.78
49.238298, 4.076721, 23.46, -1.81, 0.66, 9.74
49.238298, 4.076721, 23.46, -1.81, 0.66, 9.74
49.238298, 4.076721, 23.46, -1.78, 0.66, 9.69
49.238298, 4.076721, 23.46, -1.78, 0.66, 9.73
49.233095, 4.033849, 0.07, -1.56, 0.52, 9.65
49.233095, 4.033849, 0.07, -1.61, 0.50, 9.66
49.233110, 4.033896, 0.00, -1.44, 0.51, 9.74
49.233110, 4.033896, 0.00, -1.98, 0.76, 9.79
49.233092, 4.033885, 0.00, -2.40, 0.96, 9.62
49.233092, 4.033885, 0.00, -2.05, 0.79, 9.77
49.233092, 4.033885, 0.00, -1.75, 0.61, 9.78
49.233090, 4.033859, 0.00, -1.82, 0.67, 9.67
49.233090, 4.033859, 0.00, -2.51, 0.88, 9.53
49.233087, 4.033847, 0.00, -2.60, 0.40, 9.46
49.233087, 4.033847, 0.00, -2.36, 0.46, 9.68
49.233090, 4.033838, 0.00, -1.95, 0.42, 9.53
49.233090, 4.033838, 0.00, -2.11, 0.22, 9.80
49.233081, 4.033830, 0.00, -1.96, 0.22, 9.51
49.233081, 4.033830, 0.00, -2.19, 0.66, 9.88
49.233069, 4.033835, 0.00, -2.72, 0.86, 9.56
49.233069, 4.033835, 0.00, -2.44, 1.02, 9.42
49.233054, 4.033842, 0.00, -2.47, 0.41, 8.74
49.233054, 4.033842, 0.00, -2.47, 0.41, 10.00
49.233038, 4.033845, 0.00, -2.63, -0.05, 9.32
49.233038, 4.033845, 0.00, -1.94, -0.04, 8.46
49.233014, 4.033856, 0.00, -1.68, 0.55, 9.76
49.233014, 4.033856, 0.00, -2.01, -0.12, 9.53
49.232991, 4.033881, 0.00, -0.97, 0.27, 9.53
49.232991, 4.033881, 0.00, -1.05, -0.14, 9.39
49.232973, 4.033915, 0.00, -0.77, -0.03, 9.87
49.232973, 4.033915, 0.00, -1.14, 0.53, 10.19
49.232964, 4.033937, 0.00, -1.13, 0.25, 9.86
49.232964, 4.033937, 0.00, -1.15, 0.42, 9.93
49.232964, 4.033937, 0.00, -1.71, 0.55, 9.76
49.232964, 4.033937, 0.00, -2.37, 0.80, 9.68
49.232964, 4.033937, 0.00, -2.48, 0.61, 9.53
49.232964, 4.033937, 0.00, -2.50, 0.91, 9.65
49.232952, 4.033993, 0.00, -2.40, 0.77, 9.32
49.232952, 4.033993, 0.00, -2.48, 0.79, 9.55
49.232946, 4.034010, 0.00, -1.95, 0.37, 9.31
49.232946, 4.034010, 0.00, -1.99, 0.70, 9.21
49.232936, 4.034032, 0.00, -1.68, 0.95, 9.94
49.232936, 4.034032, 0.00, -1.65, 0.78, 8.81
49.232925, 4.034055, 0.00, -1.05, 0.00, 9.61
49.232925, 4.034055, 0.00, -1.22, 0.34, 9.38
49.232912, 4.034078, 0.00, -1.58, 0.42, 9.69
49.232912, 4.034078, 0.00, -1.81, 0.68, 9.92
49.232904, 4.034094, 0.00, -1.81, 0.73, 10.02
49.232904, 4.034094, 0.00, -1.84, 0.68, 9.40
49.232897, 4.034109, 0.00, -1.63, 0.68, 10.37
49.232897, 4.034109, 0.00, -2.05, 0.44, 9.82
49.232889, 4.034123, 1.05, -1.82, 0.61, 9.39
49.232889, 4.034123, 1.05, -2.21, 0.56, 9.10
49.232881, 4.034135, 1.01, -2.22, 0.62, 9.35
49.232881, 4.034135, 1.01, -2.25, 0.75, 8.59
49.232876, 4.034145, 0.81, -2.28, 0.60, 9.69
49.232876, 4.034145, 0.81, -2.08, 0.74, 9.69
49.232876, 4.034145, 0.00, -1.24, 0.41, 9.57
49.232876, 4.034145, 0.00, -2.51, 1.19, 8.93
49.232876, 4.034145, 0.00, -1.65, -0.62, 10.08
49.232876, 4.034145, 0.00, -2.65, 0.24, 9.63
49.232876, 4.034145, 0.00, -2.04, 1.46, 9.26
49.232856, 4.034179, 1.08, -1.83, 1.85, 8.95
49.232856, 4.034179, 1.08, -2.19, 0.94, 8.93
49.232843, 4.034180, 1.78, -3.33, 0.83, 10.41
49.232843, 4.034180, 1.78, -2.59, 1.34, 9.55
49.232827, 4.034164, 1.84, -2.56, 0.76, 9.35
49.232827, 4.034164, 1.84, -1.83, 0.44, 10.66
49.232805, 4.034133, 1.99, -3.07, 1.03, 9.40
49.232805, 4.034133, 1.99, -2.36, 0.13, 10.00
49.232778, 4.034082, 2.22, -2.97, 0.14, 8.97
49.232778, 4.034082, 2.22, -3.46, 2.41, 9.15
49.232746, 4.034021, 2.50, -2.12, -0.71, 8.96
49.232746, 4.034021, 2.50, -1.03, -0.08, 10.05
49.232713, 4.033952, 2.81, -3.03, 1.02, 13.66
49.232713, 4.033952, 2.81, -1.57, 0.65, 10.68
49.232677, 4.033879, 6.25, -1.95, 0.20, 9.75
49.232677, 4.033879, 6.25, -1.19, -0.38, 9.56
49.232640, 4.033806, 6.22, -0.34, 0.47, 12.44
49.232640, 4.033806, 6.22, -0.15, -0.66, 7.27
49.232603, 4.033737, 5.87, -0.98, 0.64, 10.53
49.232603, 4.033737, 5.87, -0.34, 1.02, 9.82
49.232571, 4.033676, 5.47, -1.09, 0.57, 10.05
49.232571, 4.033676, 5.47, -1.60, 1.80, 9.91
49.232541, 4.033618, 5.10, -2.06, 2.35, 10.66
49.232541, 4.033618, 5.10, -2.16, 1.13, 9.60
49.232518, 4.033552, 5.92, -2.94, 1.36, 10.20
49.232518, 4.033552, 5.92, -1.88, 0.01, 8.73
49.232498, 4.033470, 6.51, -1.25, -0.34, 10.79
49.232498, 4.033470, 6.51, -1.97, -1.61, 9.50
49.232476, 4.033387, 6.47, -1.64, -2.05, 9.66
49.232476, 4.033387, 6.47, -2.08, -1.93, 10.22
49.232451, 4.033308, 5.92, -1.91, -2.74, 10.93
49.232451, 4.033308, 5.92, -1.14, -2.87, 9.05
49.232408, 4.033251, 5.94, -1.39, -2.86, 9.05
49.232408, 4.033251, 5.94, -2.16, -2.44, 9.96
49.232351, 4.033233, 6.06, -2.31, -2.33, 9.76
49.232351, 4.033233, 6.06, -2.86, -2.11, 10.73
49.232292, 4.033248, 6.49, -1.72, 0.69, 8.35
49.232292, 4.033248, 6.49, -2.26, 0.36, 8.94
49.232238, 4.033307, 7.55, -2.36, 1.94, 11.11
49.232182, 4.033395, 8.86, -3.03, 0.88, 9.73
49.232182, 4.033395, 8.86, -2.11, 1.74, 11.31
49.232116, 4.033487, 9.78, -2.57, 1.24, 9.49
49.232116, 4.033487, 9.78, -2.72, 0.98, 11.78
49.232037, 4.033587, 11.33, -1.51, 1.35, 10.84
49.232037, 4.033587, 11.33, -2.92, 0.84, 10.16
49.231945, 4.033678, 12.17, -1.59, 2.36, 8.45
49.231945, 4.033678, 12.17, -1.93, 0.49, 9.12
49.231842, 4.033765, 12.77, -2.58, -0.34, 9.32
49.231842, 4.033765, 12.77, -1.59, 0.68, 9.91
49.231732, 4.033851, 13.32, -1.50, 0.81, 10.49
49.231732, 4.033851, 13.32, -2.31, 0.23, 7.92
49.231617, 4.033930, 13.55, -2.35, -0.15, 10.46
49.231617, 4.033930, 13.55, -1.99, 0.60, 10.46
49.231501, 4.034011, 13.67, -1.42, -1.07, 9.36
49.231501, 4.034011, 13.67, -1.33, -0.85, 8.81
49.231386, 4.034095, 13.67, -1.97, 0.11, 10.44
49.231386, 4.034095, 13.67, -1.64, -0.72, 9.56
49.231274, 4.034179, 13.35, -1.02, 0.22, 9.27
49.231274, 4.034179, 13.35, -1.96, 0.36, 11.60
49.231165, 4.034266, 13.17, -1.67, -0.31, 10.04
49.231165, 4.034266, 13.17, -1.92, 0.12, 10.46
49.231061, 4.034349, 12.80, -2.33, -0.13, 9.61
49.231061, 4.034349, 12.80, -1.91, -0.42, 8.96
49.230958, 4.034435, 12.73, -1.26, -0.54, 8.95
49.230958, 4.034435, 12.73, -1.76, 0.23, 10.33
49.230858, 4.034521, 12.32, -1.14, -0.51, 9.76
49.230858, 4.034521, 12.32, -0.72, -0.32, 9.56
49.230761, 4.034602, 12.16, -1.36, -0.68, 9.93
49.230761, 4.034602, 12.16, -1.51, -0.12, 9.71
49.230665, 4.034684, 11.78, -0.86, -0.69, 8.56
49.230665, 4.034684, 11.78, -0.52, -0.57, 8.91
49.230577, 4.034759, 10.94, -0.09, -1.48, 8.80
49.230577, 4.034759, 10.94, 1.00, -0.59, 9.88
49.230495, 4.034824, 9.78, 0.09, -0.41, 10.02
49.230495, 4.034824, 9.78, 0.55, 0.01, 10.40
49.230427, 4.034882, 8.14, -0.03, -0.29, 10.02
49.230427, 4.034882, 8.14, -0.09, -0.68, 9.46
49.230374, 4.034926, 6.35, -1.15, -0.62, 9.72
49.230374, 4.034926, 6.35, -1.03, -0.11, 9.90
49.230334, 4.034958, 4.76, -2.08, 0.24, 9.57
49.230334, 4.034958, 4.76, -2.34, -0.22, 9.27
49.230296, 4.034987, 4.91, -2.00, 0.09, 9.35
49.230258, 4.035022, 5.39, -1.90, -0.51, 9.99
49.230258, 4.035022, 5.39, -2.04, -0.17, 9.83
49.230217, 4.035060, 5.51, -1.56, -0.41, 9.60
49.230217, 4.035060, 5.51, -1.67, -0.49, 9.19
49.230176, 4.035102, 5.59, -1.85, -1.48, 10.06
49.230176, 4.035102, 5.59, -1.71, -1.08, 9.81
49.230138, 4.035152, 5.78, -1.26, -0.36, 9.63
49.230138, 4.035152, 5.78, -0.84, 0.01, 9.46
49.230103, 4.035204, 5.09, -0.27, 0.24, 9.42
49.230103, 4.035204, 5.09, -0.41, -0.32, 9.53
49.230073, 4.035248, 4.02, -0.52, 0.08, 9.71
49.230073, 4.035248, 4.02, -0.75, 0.20, 9.65
49.230048, 4.035281, 3.42, -1.17, -0.17, 9.90
49.230048, 4.035281, 3.42, -1.09, -0.14, 9.67
49.230026, 4.035308, 3.15, -1.26, -0.02, 9.86
49.230026, 4.035308, 3.15, -1.31, -0.49, 9.80
49.230005, 4.035335, 2.88, -0.68, -0.25, 9.73
49.230005, 4.035335, 2.88, -0.56, 0.24, 9.80
49.229988, 4.035357, 1.96, -0.46, -0.44, 9.96
49.229988, 4.035357, 1.96, -0.60, -0.35, 9.51
49.229977, 4.035370, 1.13, -0.81, -0.34, 9.85
49.229977, 4.035370, 1.13, -1.46, 0.23, 9.66
49.229977, 4.035370, 0.00, -1.89, 0.04, 9.65
49.229977, 4.035370, 0.00, -0.73, -0.07, 9.84
49.229977, 4.035370, 0.00, -0.82, -0.33, 9.66
49.229977, 4.035370, 0.00, -1.08, -0.21, 9.86
49.229977, 4.035370, 0.00, -1.50, 0.18, 9.85
49.229977, 4.035370, 0.00, -1.73, 0.14, 9.75
49.229977, 4.035370, 0.00, -1.27, -0.09, 9.76
49.229977, 4.035370, 0.00, -1.41, -0.29, 9.74
49.229977, 4.035370, 0.00, -1.33, -0.31, 9.82
49.229977, 4.035370, 0.00, -1.55, -0.13, 9.78
49.229977, 4.035370, 0.00, -1.66, -0.04, 9.78
49.229977, 4.035370, 0.00, -1.52, 0.14, 9.74
49.229977, 4.035370, 0.00, -1.39, 0.05, 9.73
49.229977, 4.035370, 0.00, -1.68, -0.14, 9.63
49.229977, 4.035370, 0.00, -2.48, -0.18, 9.55
49.229977, 4.035370, 0.00, -2.74, -0.13, 9.60
49.229977, 4.035370, 0.00, -3.15, 0.04, 9.36
49.229977, 4.035370, 0.00, -3.42, -0.36, 9.77
49.229951, 4.035396, 2.05, -3.85, -1.17, 9.79
49.229951, 4.035396, 2.05, -3.72, -1.70, 9.43
49.229927, 4.035431, 4.36, -2.32, -2.31, 9.27
49.229927, 4.035431, 4.36, -1.47, -2.03, 10.03
49.229896, 4.035495, 6.00, -0.26, -2.06, 9.74
49.229875, 4.035577, 5.69, 0.11, -1.92, 9.88
49.229875, 4.035577, 5.69, 1.13, -0.99, 9.50
49.229876, 4.035655, 4.44, 1.70, -0.68, 9.86
49.229876, 4.035655, 4.44, 1.50, 0.10, 10.35
49.229889, 4.035709, 2.46, 1.11, -0.14, 9.62
49.229889, 4.035709, 2.46, 0.52, -0.06, 9.94
49.229889, 4.035709, 0.00, -1.22, 0.07, 9.69
49.229889, 4.035709, 0.00, -1.61, -0.05, 9.73
49.229910, 4.035746, 1.01, -3.11, 0.01, 9.36
49.229910, 4.035746, 1.01, -3.30, -0.27, 9.52
49.229927, 4.035761, 2.66, -3.71, -1.46, 9.49
49.229927, 4.035761, 2.66, -3.60, -2.10, 10.21
49.229957, 4.035790, 4.29, -3.11, -3.26, 9.93
49.229957, 4.035790, 4.29, -2.35, -2.76, 9.36
49.230003, 4.035823, 5.38, -2.75, -3.00, 9.42
49.230003, 4.035823, 5.38, -2.59, -3.01, 9.79
49.230067, 4.035855, 7.73, -2.07, -2.92, 9.76
49.230067, 4.035855, 7.73, -2.69, -0.86, 10.03
49.230153, 4.035827, 8.85, -2.10, -0.18, 9.75
49.230153, 4.035827, 8.85, -1.73, 0.52, 9.10
49.230254, 4.035774, 10.44, -2.07, 0.21, 9.93
49.230254, 4.035774, 10.44, -1.81, -0.41, 10.46
49.230362, 4.035714, 10.98, -0.71, 0.02, 9.13
49.230362, 4.035714, 10.98, -1.48, 0.13, 10.49
49.230481, 4.035650, 12.22, -1.02, 0.72, 10.27
49.230481, 4.035650, 12.22, -1.21, 1.05, 9.82
49.230614, 4.035585, 13.71, -0.92, 1.26, 10.32
49.230614, 4.035585, 13.71, -1.24, 0.98, 8.83
49.230745, 4.035530, 13.72, -0.87, 1.75, 10.03
49.230745, 4.035530, 13.72, -1.09, 2.22, 9.73
49.230883, 4.035489, 14.96, -1.13, 1.86, 10.01
49.230883, 4.035489, 14.96, -0.79, 0.63, 9.78
49.231022, 4.035486, 15.04, -1.36, 1.70, 10.47
49.231022, 4.035486, 15.04, -0.73, 0.81, 9.76
49.231161, 4.035506, 14.85, -0.81, 1.48, 10.32
49.231161, 4.035506, 14.85, -0.47, 2.50, 10.09
49.231296, 4.035551, 14.78, -1.21, 1.75, 8.85
49.231296, 4.035551, 14.78, -0.73, 2.44, 10.52
49.231423, 4.035632, 14.74, -1.48, 1.18, 10.59
49.231423, 4.035632, 14.74, -0.99, 2.26, 11.14
49.231544, 4.035741, 14.71, -1.25, 0.62, 9.91
49.231544, 4.035741, 14.71, -1.60, 0.87, 9.06
49.231649, 4.035869, 14.57, -1.26, 0.40, 9.14
49.231740, 4.036016, 14.84, -0.58, -0.60, 8.40
49.231740, 4.036016, 14.84, -1.13, 0.09, 11.70
49.231830, 4.036164, 14.49, -1.19, -0.36, 10.45
49.231830, 4.036164, 14.49, -0.80, -0.65, 10.07
49.231917, 4.036319, 14.06, -1.09, 0.77, 10.12
49.231917, 4.036319, 14.06, -1.91, -0.37, 10.13
49.232000, 4.036476, 13.73, -0.66, -1.15, 10.31
49.232000, 4.036476, 13.73, -1.12, 2.40, 11.97
49.232081, 4.036624, 13.28, -1.48, 0.03, 9.73
49.232081, 4.036624, 13.28, -1.17, -0.59, 8.73
49.232153, 4.036766, 12.78, -0.40, 0.23, 9.71
49.232153, 4.036766, 12.78, -0.65, -0.06, 9.62
49.232224, 4.036904, 12.35, -0.77, -0.61, 10.05
49.232224, 4.036904, 12.35, -0.31, 0.10, 11.26
49.232293, 4.037037, 11.87, -0.35, -0.47, 9.78
49.232293, 4.037037, 11.87, -0.24, -0.91, 10.37
49.232358, 4.037160, 11.08, -1.02, 0.07, 9.84
49.232358, 4.037160, 11.08, -0.62, -0.37, 9.72
49.232419, 4.037273, 10.23, -0.03, -1.24, 9.44
49.232419, 4.037273, 10.23, -0.24, -0.80, 10.08
49.232475, 4.037374, 8.72, 0.04, 0.11, 9.85
49.232475, 4.037374, 8.72, 0.96, -0.65, 9.42
49.232518, 4.037457, 6.95, 0.24, -0.30, 9.80
49.232518, 4.037457, 6.95, 0.04, -0.69, 10.35
49.232555, 4.037524, 5.36, 0.84, -0.63, 10.18
49.232555, 4.037524, 5.36, 0.83, -0.36, 10.26
