Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.258218, 4.054068, 0.00, -1.44, 1.02, 9.71
49.258218, 4.054068, 0.00, -1.59, 0.41, 9.37
49.258218, 4.054068, 0.00, -1.64, 1.50, 10.01
49.258218, 4.054068, 0.00, -1.71, 0.99, 10.01
49.258218, 4.054068, 0.00, -0.72, 0.12, 9.52
49.258218, 4.054068, 0.00, -1.71, 1.07, 9.44
49.258218, 4.054068, 0.00, -1.44, 0.69, 10.07
49.258218, 4.054068, 0.00, -1.25, 1.05, 9.67
49.258218, 4.054068, 0.00, -1.19, 0.78, 9.81
49.258218, 4.054068, 0.00, -1.71, 1.26, 9.39
49.258218, 4.054068, 0.00, -1.73, 1.70, 9.91
49.258218, 4.054068, 0.00, -1.78, 1.16, 9.95
49.258218, 4.054068, 0.00, -1.81, 1.56, 10.23
49.258218, 4.054068, 0.00, -1.49, 0.92, 9.75
49.258218, 4.054068, 0.00, -1.70, 0.98, 10.02
49.258218, 4.054068, 0.00, -1.40, 0.57, 9.67
49.258218, 4.054068, 0.00, -1.62, 0.90, 9.94
49.258218, 4.054068, 0.00, -0.35, 2.54, 7.46
49.258218, 4.054068, 0.00, -1.48, 0.84, 9.80
49.258218, 4.054068, 0.00, -2.02, 1.33, 9.91
49.258218, 4.054068, 0.00, -2.02, 1.14, 9.76
49.258218, 4.054068, 0.00, -2.10, 1.57, 9.42
49.258218, 4.054068, 0.00, -2.64, 1.22, 9.25
49.258218, 4.054068, 0.00, -2.83, 1.88, 10.07
49.258233, 4.054025, 0.99, -3.32, 1.19, 10.37
49.258233, 4.054025, 0.99, -3.81, 1.60, 10.63
49.258243, 4.054021, 2.19, -2.83, 0.94, 10.52
49.258243, 4.054021, 2.19, -2.63, 0.56, 8.81
49.258270, 4.054028, 3.51, -2.04, 0.49, 8.04
49.258270, 4.054028, 3.51, -2.72, -0.30, 8.33
49.258309, 4.054030, 4.19, -3.00, 0.60, 10.05
49.258309, 4.054030, 4.19, -2.11, 0.16, 9.46
49.258357, 4.053997, 4.89, -1.51, 0.68, 11.18
49.258357, 4.053997, 4.89, -2.35, -0.75, 9.73
49.258408, 4.053961, 4.85, -2.55, 0.75, 9.21
49.258408, 4.053961, 4.85, -2.56, 0.68, 9.37
49.258457, 4.053936, 5.58, -2.68, -0.27, 9.85
49.258457, 4.053936, 5.58, -2.41, -0.10, 10.13
49.258513, 4.053914, 6.57, -2.69, -0.25, 8.80
49.258577, 4.053892, 7.35, -1.73, 0.49, 8.57
49.258577, 4.053892, 7.35, -1.85, 0.36, 10.70
49.258643, 4.053872, 6.91, -0.51, 0.34, 8.23
49.258643, 4.053872, 6.91, -2.90, -0.37, 7.26
49.258704, 4.053851, 6.81, -1.31, -0.17, 9.62
49.258704, 4.053851, 6.81, -1.76, -0.20, 9.39
49.258765, 4.053830, 6.95, -1.32, 1.03, 9.28
49.258765, 4.053830, 6.95, -1.18, 0.86, 10.46
49.258828, 4.053808, 7.14, -1.58, 0.08, 10.72
