Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
50.52561,2.565116,33.44,-0.73,0.55,8.68
50.525425,2.565482,33.37,-0.65,0.8,12.22
50.525425,2.565482,33.37,-0.88,1.75,7.54
50.52524,2.565854,33.35,0.05,1.24,10.71
50.52524,2.565854,33.35,-0.54,1.24,10.81
50.525055,2.566233,33.23,-1.71,2.07,9.84
50.525055,2.566233,33.23,-0.07,0.96,11.1
50.524873,2.566607,33.18,0.16,1.72,9.33
50.524873,2.566607,33.18,0.05,1.1,9.12
50.524694,2.566982,33.13,-1.46,1.62,9.1
50.524694,2.566982,33.13,0.33,1.55,11.36
50.524521,2.567352,33.15,-1.61,0.62,10.68
50.524521,2.567352,33.15,-1.25,1.16,8.14
50.524351,2.567738,33.21,-0.54,0.5,12.01
50.524351,2.567738,33.21,-0.18,1.53,10.98
50.524183,2.568123,33.15,-0.25,1.96,9.61
50.524183,2.568123,33.15,-0.34,1.5,10.07
50.524018,2.568518,33.03,-0.32,1.62,11.91
50.524018,2.568518,33.03,-0.82,0.8,8.64
50.523851,2.5689,32.94,-0.29,0.71,10.15
50.523851,2.5689,32.94,-0.8,1.64,11.09
50.523685,2.569284,32.8,-0.15,2.26,8.93
50.523685,2.569284,32.8,-0.27,0.13,9.49
50.52352,2.569665,32.69,0.1,0.23,11.18
50.52352,2.569665,32.69,-1.12,1.51,10.66
50.523359,2.570051,32.58,-1.89,1.64,8.91
50.523359,2.570051,32.58,-0.48,1.72,8.51
50.5232,2.57044,32.56,-0.87,0.23,9.71
50.5232,2.57044,32.56,-0.52,1.29,11.47
50.523039,2.570821,32.59,-1.78,2.12,7.8
50.523039,2.570821,32.59,-0.98,2.36,7.16
50.52288,2.571207,32.61,-0.47,-0.01,8.77
50.52288,2.571207,32.61,-0.15,1.3,9.95
50.52272,2.571591,32.6,-0.49,1.77,11.5
50.52272,2.571591,32.6,-1.33,1.45,7.99
50.522563,2.571979,32.58,-0.17,0.22,9.07
50.522563,2.571979,32.58,-0.08,-0.02,9.17
50.522403,2.572364,32.51,-1.13,0.52,10.55
50.522403,2.572364,32.51,-0.02,1.18,11.01
50.522243,2.57275,32.54,-0.54,1.67,9.81
50.522084,2.573132,32.53,-0.06,1.46,8.8
50.522084,2.573132,32.53,-0.26,0.47,9.75
50.521922,2.573515,32.49,-0.67,0.23,11.07
50.521922,2.573515,32.49,-0.91,1.19,10.77
50.52176,2.573896,32.52,-1.69,1.87,9.07
50.52176,2.573896,32.52,-1.79,1.77,8.09
50.521599,2.574281,32.53,1.29,1.05,10.52
50.521599,2.574281,32.53,-0.61,1.51,11.61
50.521439,2.574668,32.65,-1.23,1.05,9.36
50.521439,2.574668,32.65,-0.48,1.93,9.56
50.521278,2.575057,32.65,0.66,0.5,9.26
50.521278,2.575057,32.65,-0.91,1.41,9.63
50.52112,2.575445,32.66,-1.58,2.26,11.06
50.52112,2.575445,32.66,-1.48,2.1,7.74
50.520963,2.575837,32.66,0.21,0.22,9.73
50.520963,2.575837,32.66,-0.7,0.2,10.98
50.520808,2.576227,32.64,0.27,2.51,10.33
50.520808,2.576227,32.64,-0.38,1.81,8.29
50.520652,2.576617,32.62,0.04,2.09,7.87
50.520652,2.576617,32.62,-1.73,0.71,10.49
50.520495,2.577005,32.61,-1.57,1.51,9.21
50.520495,2.577005,32.61,-1.68,2.05,9.24
50.520339,2.577394,32.55,-0.89,2.81,9.3
50.520339,2.577394,32.55,0.19,0.5,11.0
50.520185,2.577783,32.43,-1.32,1.31,11.4
50.520185,2.577783,32.43,-0.7,1.52,9.66
50.52003,2.578171,32.3,-0.77,1.75,10.58
50.52003,2.578171,32.3,-0.13,1.75,10.15
50.519877,2.578558,32.25,-0.46,1.98,9.34
50.519877,2.578558,32.25,0.03,2.58,8.8
50.519725,2.578945,32.22,0.27,1.02,9.26
50.519725,2.578945,32.22,-0.68,0.89,9.73
50.519575,2.579334,32.21,0.34,1.1,9.64
50.519575,2.579334,32.21,0.1,1.78,9.94
50.519424,2.579722,32.21,-0.22,1.66,10.54
50.519424,2.579722,32.21,-0.39,1.33,10.42
50.519275,2.580111,32.19,-0.69,0.85,10.24
50.519275,2.580111,32.19,-1.96,2.31,8.23
50.519127,2.5805,32.18,-1.98,1.05,8.39
