Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.6648,3.53089,33.76,-0.7,1.99,11.2
49.664649,3.531301,33.87,-1.64,2.09,11.06
49.664649,3.531301,33.87,0.21,0.73,10.08
49.664499,3.531713,33.67,-1.58,1.7,11.52
49.664499,3.531713,33.67,0.06,1.05,8.22
49.664353,3.532118,33.49,-0.45,2.3,9.78
49.664353,3.532118,33.49,-0.19,1.92,9.75
49.664204,3.532529,33.4,-1.24,1.25,10.65
49.664204,3.532529,33.4,-1.21,1.47,7.31
49.664064,3.532937,33.35,0.55,0.38,9.84
49.664064,3.532937,33.35,-0.44,1.16,9.58
49.663924,3.533347,33.25,0.16,1.3,9.38
49.663924,3.533347,33.25,-1.0,1.01,8.9
49.663783,3.533753,33.2,-1.3,1.93,8.2
49.663783,3.533753,33.2,-0.69,1.93,12.09
49.663647,3.534151,33.15,-1.26,1.65,9.58
49.663647,3.534151,33.15,-0.35,1.12,7.63
49.663509,3.534557,33.2,-1.31,1.67,9.75
49.663509,3.534557,33.2,-0.2,0.69,10.05
49.663369,3.534964,33.31,-0.14,2.1,9.04
49.663369,3.534964,33.31,-1.47,1.25,8.59
49.663236,3.535378,33.36,-1.63,1.56,12.28
49.663236,3.535378,33.36,-0.83,1.61,9.04
49.663106,3.535795,33.41,-0.06,1.09,10.02
49.663106,3.535795,33.41,-1.0,1.09,8.49
49.662972,3.536215,33.53,-1.65,2.94,11.73
49.662972,3.536215,33.53,0.05,1.96,9.82
49.662844,3.536629,33.62,-0.36,1.23,10.28
49.662844,3.536629,33.62,-2.29,0.96,8.26
49.662717,3.537055,33.64,-0.86,1.25,10.08
49.662588,3.537472,33.68,-0.4,0.61,10.35
49.662588,3.537472,33.68,-0.01,2.21,10.2
49.662465,3.537893,33.71,-1.83,0.98,9.09
49.662465,3.537893,33.71,0.11,2.73,11.2
49.662342,3.538319,33.8,-0.33,1.76,10.58
49.662342,3.538319,33.8,-0.11,1.38,8.59
49.662218,3.538743,33.86,-0.66,2.49,10.99
49.662218,3.538743,33.86,-0.14,0.35,8.48
49.662092,3.539171,33.88,-1.84,1.8,11.53
