Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.729442,3.40823,32.61,-1.86,-0.94,8.92
49.729712,3.408043,32.93,-1.54,-0.03,9.63
49.729712,3.408043,32.93,-2.04,0.15,10.67
49.729982,3.407852,32.97,-1.29,-0.55,9.6
49.729982,3.407852,32.97,-1.36,0.21,10.3
49.730254,3.407658,33.12,-2.51,-0.27,12.89
49.730254,3.407658,33.12,-0.57,0.91,11.2
49.730525,3.407467,33.2,-1.34,-0.83,9.56
49.730525,3.407467,33.2,-1.13,0.3,10.01
49.730798,3.407275,33.27,-2.15,-0.82,10.32
49.730798,3.407275,33.27,-1.8,0.21,10.85
49.731069,3.407083,33.16,-1.13,-0.6,9.28
49.731069,3.407083,33.16,-1.91,-0.28,10.57
49.731335,3.406892,33.13,-0.47,0.71,9.17
49.731335,3.406892,33.13,-0.47,0.54,10.37
49.731609,3.406699,33.11,-2.61,-0.88,9.75
49.731609,3.406699,33.11,-0.51,-0.4,9.46
49.731881,3.406509,32.83,-1.06,0.23,10.35
49.731881,3.406509,32.83,-2.32,-0.57,10.8
49.732145,3.406326,32.62,-1.86,-0.39,8.54
49.732145,3.406326,32.62,-0.51,0.59,11.0
49.732418,3.406141,32.48,-1.28,0.52,10.04
49.732418,3.406141,32.48,-1.96,0.63,10.45
49.732686,3.405957,32.21,-2.09,-1.6,11.08
49.732949,3.405777,31.86,-1.09,1.63,10.91
49.732949,3.405777,31.86,-1.89,-0.26,9.42
49.733202,3.405594,31.55,-2.6,-0.72,9.28
49.733202,3.405594,31.55,-1.14,0.21,11.06
49.733452,3.405419,31.3,-1.29,-0.39,10.5
49.733452,3.405419,31.3,-2.55,0.08,9.09
49.733707,3.405239,31.04,-2.38,-1.4,10.33
49.733707,3.405239,31.04,-1.84,0.59,10.88
49.733958,3.405063,30.83,-1.25,0.24,9.99
49.733958,3.405063,30.83,-1.38,-0.02,9.21
49.734203,3.404886,30.6,-1.21,-0.45,9.72
49.734203,3.404886,30.6,-2.07,-0.18,8.3
49.734453,3.40471,30.57,-1.3,-0.68,10.31
49.734453,3.40471,30.57,-0.93,0.29,10.61
49.734704,3.404532,30.52,-1.88,-0.08,10.21
49.734704,3.404532,30.52,-2.2,-0.65,8.92
49.734955,3.404351,30.49,-1.6,0.22,9.23
49.734955,3.404351,30.49,-2.49,-1.05,8.82
49.735206,3.404173,30.44,-1.64,0.47,9.12
49.735206,3.404173,30.44,-0.26,0.22,8.83
49.735452,3.403996,30.5,-3.6,-0.73,9.43
49.735452,3.403996,30.5,-1.18,-0.74,7.13
49.735696,3.40382,30.49,-3.13,-0.45,10.54
49.735696,3.40382,30.49,-1.35,1.12,8.41
49.735941,3.403645,30.51,-2.48,-0.26,10.4
49.735941,3.403645,30.51,-2.25,-0.73,7.8
