Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.557837,3.81181,34.11,-0.2,-0.05,9.03
49.557837,3.81181,34.11,-0.06,0.18,8.91
49.557916,3.81136,33.97,-0.58,0.48,10.64
49.557916,3.81136,33.97,-1.6,-0.32,9.56
49.557994,3.81091,33.41,-1.16,0.27,9.96
49.557994,3.81091,33.41,-2.16,-1.93,9.95
49.558075,3.810465,33.12,-1.47,0.14,9.8
49.558075,3.810465,33.12,-1.66,-0.7,9.48
49.558157,3.810024,32.92,-1.19,-0.81,8.67
49.558157,3.810024,32.92,-0.48,-0.32,9.97
49.55824,3.809594,32.85,-2.52,-0.68,10.54
49.55824,3.809594,32.85,-3.5,-1.45,10.28
49.55832,3.809159,32.81,-0.83,-0.14,8.87
49.55832,3.809159,32.81,-1.37,0.41,9.64
49.558403,3.808728,32.81,-1.44,0.18,9.06
49.558403,3.808728,32.81,-1.12,-0.22,9.38
49.558488,3.808299,32.67,-0.09,0.75,10.61
49.558488,3.808299,32.67,-1.63,-0.4,10.04
49.558568,3.80787,32.59,-1.97,-0.11,9.28
49.558568,3.80787,32.59,-1.59,-0.16,9.62
49.558656,3.807443,32.57,-1.23,0.38,9.53
49.558656,3.807443,32.57,-0.62,0.16,10.43
49.558745,3.807015,32.61,-2.21,-1.1,10.19
49.558745,3.807015,32.61,-1.74,-0.15,9.36
49.558836,3.806587,32.6,-1.63,0.28,10.49
49.558836,3.806587,32.6,-0.39,0.85,10.66
49.558926,3.806157,32.63,-1.72,-0.36,9.86
49.558926,3.806157,32.63,-1.66,-0.5,10.95
49.559018,3.805728,32.64,-1.01,0.05,10.55
49.559018,3.805728,32.64,-1.11,0.94,11.0
49.559113,3.8053,32.62,-0.68,0.45,10.16
49.559113,3.8053,32.62,-2.29,-1.31,10.07
49.559207,3.804873,32.6,-1.23,0.57,9.56
49.559207,3.804873,32.6,-0.93,0.66,9.72
49.559305,3.804448,32.57,-0.37,1.28,10.31
49.559305,3.804448,32.57,-1.52,-0.46,10.41
49.5594,3.804018,32.58,-1.58,0.49,11.03
