Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
50.273958,2.971472,33.97,-1.25,1.16,9.7
50.273958,2.971472,33.97,0.22,1.08,9.28
50.273739,2.971807,33.98,-1.63,1.03,9.68
50.273739,2.971807,33.98,-0.75,0.42,11.56
50.273519,2.972139,33.98,-0.23,-0.06,8.77
50.273519,2.972139,33.98,-0.19,1.14,9.99
50.273296,2.972464,34.02,-0.54,1.38,11.59
50.273296,2.972464,34.02,-0.49,1.19,9.65
50.273079,2.97279,33.99,0.35,1.32,9.24
50.273079,2.97279,33.99,-0.7,1.84,8.61
50.272862,2.973129,34.06,-1.65,1.17,8.41
50.272862,2.973129,34.06,-1.13,1.08,8.64
50.272649,2.973471,34.21,-0.58,1.19,9.39
50.272649,2.973471,34.21,0.03,0.63,10.07
50.272434,2.973818,34.25,-1.39,1.05,10.48
50.272434,2.973818,34.25,-0.68,1.49,9.59
50.272221,2.974172,34.35,-0.85,1.41,9.99
50.27201,2.974525,34.45,-1.21,1.67,10.08
50.27201,2.974525,34.45,-0.71,1.18,8.85
50.271794,2.97488,34.59,-1.03,0.36,8.8
50.271794,2.97488,34.59,-1.54,1.63,8.92
50.271584,2.975239,34.73,-1.23,1.63,9.58
50.271584,2.975239,34.73,-2.65,0.48,10.37
50.271369,2.975607,34.9,-1.92,1.9,10.05
50.271369,2.975607,34.9,-0.64,1.49,9.52
50.271161,2.975976,35.01,-0.79,0.66,9.91
50.271161,2.975976,35.01,0.33,0.33,9.1
50.270957,2.976353,35.11,-0.2,1.03,10.77
50.270957,2.976353,35.11,0.11,0.51,10.15
50.270755,2.976731,35.1,-0.34,0.88,10.11
50.270755,2.976731,35.1,-0.95,1.02,8.15
50.270555,2.977104,34.59,-0.45,1.44,10.81
50.270555,2.977104,34.59,-1.15,1.85,11.58
50.270358,2.977471,34.14,-0.23,0.82,9.71
50.270358,2.977471,34.14,-1.13,1.06,8.51
50.270166,2.977843,34.03,-0.2,1.43,11.48
50.270166,2.977843,34.03,-0.87,1.44,8.54
50.269982,2.978217,34.02,-1.83,0.91,8.91
50.269982,2.978217,34.02,-0.88,1.54,10.74
50.269797,2.978591,34.09,-0.59,0.58,10.9
50.269797,2.978591,34.09,-1.56,2.32,10.84
50.269614,2.978968,34.15,-0.92,0.67,12.61
50.269614,2.978968,34.15,-0.43,0.57,8.35
50.269435,2.979347,34.04,-1.62,1.84,10.67
50.269435,2.979347,34.04,-0.69,1.43,9.86
50.269251,2.979729,33.92,0.48,1.23,11.06
50.269251,2.979729,33.92,0.08,1.13,10.85
50.269069,2.980119,33.72,-0.51,0.5,9.53
50.269069,2.980119,33.72,-0.61,1.29,8.58
50.268891,2.980497,33.59,-1.18,1.52,9.79
50.268891,2.980497,33.59,-1.27,1.36,11.63
50.268718,2.980881,33.48,-0.2,1.37,9.68
50.268718,2.980881,33.48,-1.29,1.34,7.75
50.268545,2.981265,33.4,-0.15,1.29,9.07
50.268545,2.981265,33.4,-1.0,1.9,10.65
50.268379,2.981651,33.38,-0.05,0.97,9.33
50.268379,2.981651,33.38,-0.3,0.81,10.81
50.268215,2.982042,33.19,-0.38,1.12,9.39
50.268215,2.982042,33.19,-0.06,0.48,8.13
50.268043,2.982421,33.1,-0.34,1.4,10.97
50.267878,2.982801,32.99,-0.74,0.92,8.97
50.267878,2.982801,32.99,-0.24,0.58,10.11
50.267716,2.983181,32.97,0.26,1.09,10.84
50.267716,2.983181,32.97,-0.27,1.97,8.32
50.267554,2.983566,32.82,-0.06,1.03,8.93
50.267554,2.983566,32.82,0.61,0.78,10.93
50.267394,2.983954,32.73,-1.72,1.93,10.0
50.267394,2.983954,32.73,-1.67,0.23,9.34
50.267235,2.98434,32.7,-1.48,1.08,9.62
50.267235,2.98434,32.7,-1.03,0.57,10.16
50.267076,2.984731,32.58,-1.32,1.13,10.46
50.267076,2.984731,32.58,-0.36,1.89,8.51
50.266922,2.985124,32.52,-1.1,1.45,8.22
50.266922,2.985124,32.52,-0.25,0.96,11.28
50.266765,2.985506,32.43,-1.8,1.64,10.14
50.266765,2.985506,32.43,-1.66,0.99,7.87
50.266609,2.985893,32.41,-1.66,1.15,10.09
50.266609,2.985893,32.41,-0.72,1.82,8.63
50.26645,2.986279,32.47,0.23,1.05,11.09
50.26645,2.986279,32.47,-0.45,1.09,10.45
50.266296,2.98667,32.53,-1.64,1.47,9.36
50.266296,2.98667,32.53,-1.17,1.92,8.75
50.266143,2.987065,32.66,0.57,0.63,9.52
50.266143,2.987065,32.66,-0.49,1.29,11.2
50.265984,2.987455,32.71,-0.43,1.26,9.9
50.265984,2.987455,32.71,-0.83,1.54,9.44
50.265828,2.987849,32.89,-0.79,2.14,10.05
50.265828,2.987849,32.89,-1.7,2.7,10.93
