Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.244851, 4.063194, 0.00, 0.16, 2.35, 9.60
49.244851, 4.063194, 0.00, 0.14, 2.32, 9.57
49.244851, 4.063194, 0.00, 0.16, 2.29, 9.59
49.244851, 4.063194, 0.00, 0.15, 2.31, 9.60
49.244851, 4.063194, 0.00, 0.16, 2.33, 9.56
49.244851, 4.063194, 0.00, 0.21, 2.33, 9.52
49.244851, 4.063194, 0.00, 0.14, 2.32, 9.56
49.244851, 4.063194, 0.00, 0.23, 2.32, 9.64
49.244851, 4.063194, 0.00, 0.15, 2.31, 9.52
49.244851, 4.063194, 0.00, 0.13, 2.30, 9.50
49.244851, 4.063194, 0.00, 0.19, 2.35, 9.55
49.244897, 4.063140, 0.19, 0.19, 2.28, 9.58
49.244897, 4.063140, 0.19, 0.14, 2.33, 9.62
49.244896, 4.063137, 0.03, 0.28, 2.40, 9.37
49.244896, 4.063137, 0.03, 0.16, 2.26, 9.58
49.244897, 4.063153, 0.03, 0.18, 2.35, 9.50
49.244897, 4.063153, 0.03, 0.13, 2.38, 9.51
49.244894, 4.063167, 0.00, 0.23, 2.30, 9.51
49.244894, 4.063167, 0.00, 0.12, 2.23, 9.61
49.244890, 4.063173, 0.00, 0.07, 2.04, 9.59
49.244890, 4.063173, 0.00, 0.10, 2.41, 9.52
49.244888, 4.063175, 0.00, 0.21, 2.32, 9.53
49.244888, 4.063175, 0.00, 0.13, 2.33, 9.56
49.244891, 4.063184, 0.00, 0.19, 2.32, 9.59
49.244891, 4.063184, 0.00, 0.16, 2.36, 9.59
49.244889, 4.063183, 0.00, 0.17, 2.29, 9.53
49.244889, 4.063183, 0.00, 0.19, 2.34, 9.55
49.244886, 4.063183, 0.00, 0.18, 2.36, 9.56
49.244886, 4.063183, 0.00, 0.16, 2.33, 9.56
49.244883, 4.063185, 0.00, 0.20, 2.33, 9.57
49.244883, 4.063185, 0.00, 0.15, 2.32, 9.55
49.244880, 4.063185, 0.00, 0.23, 2.44, 9.58
49.244880, 4.063185, 0.00, 0.19, 2.31, 9.54
49.244879, 4.063185, 0.00, 0.15, 2.31, 9.59
49.244879, 4.063185, 0.00, 0.15, 2.35, 9.55
49.244877, 4.063186, 0.00, 0.22, 2.38, 9.50
49.244877, 4.063186, 0.00, 0.19, 2.36, 9.58
49.244878, 4.063181, 0.00, 0.17, 2.37, 9.59
49.244878, 4.063181, 0.00, 0.15, 2.34, 9.53
49.244875, 4.063181, 0.00, 0.14, 2.30, 9.52
49.244875, 4.063181, 0.00, 0.21, 2.35, 9.58
49.244872, 4.063181, 0.00, 0.14, 2.38, 9.55
49.244872, 4.063181, 0.00, 0.21, 2.33, 9.53
49.244870, 4.063182, 0.00, 0.23, 2.38, 9.63
49.244870, 4.063182, 0.00, 0.23, 2.42, 9.61
49.244869, 4.063184, 0.00, 0.04, 2.61, 9.48
49.244869, 4.063184, 0.00, 0.23, 2.38, 9.50
49.244868, 4.063184, 0.00, 0.16, 2.35, 9.58
49.244868, 4.063184, 0.00, 0.20, 2.35, 9.56
49.244867, 4.063186, 0.00, 0.18, 2.31, 9.56
49.244867, 4.063186, 0.00, 0.16, 2.33, 9.57
49.244865, 4.063185, 0.00, 0.18, 2.35, 9.52
49.244865, 4.063185, 0.00, 0.18, 2.32, 9.57
49.244864, 4.063184, 0.00, 0.18, 2.33, 9.59
49.244864, 4.063184, 0.00, 0.15, 2.36, 9.54
49.244864, 4.063183, 0.00, 0.16, 2.53, 9.47
49.244864, 4.063183, 0.00, 0.10, 3.01, 9.48
49.244863, 4.063183, 0.00, 0.04, 2.90, 9.39
49.244863, 4.063183, 0.00, -0.11, 2.70, 9.36
